"eid","code","name","countrycode","statecode","metrocode","citycode","phoneprefix","type","lat","lon"
"ap/AAE","AAE","Les Salines Arpt","DZ","","","AAE","",2,36.83,7.81
"ap/AAF","AAF","Apalachicola Municipal Arpt","US","FL","","AAF","QHF",9,29.73,-85.03
"ap/AAG","AAG","Arapoti Arpt","BR","","","AAG","",9,-24.1,-49.78
"ap/AAH","AAH","Aachen Merzbruck Arpt","DE","","","AAH","QHF",2,50.91,5.76
"ap/AAL","AAL","Aalborg Arpt","DK","","","AAL","",2,57.09,9.84
"ap/AAM","AAM","Mala Mala Arpt","ZA","","","AAM","QHF",3,-24.8,31.53
"ap/AAN","AAN","Al Ain Arpt","AE","","","AAN","",2,24.26,55.61
"ap/AAQ","AAQ","Anapa Arpt","RU","","","AAQ","",2,44.9,37.31
"ap/AAR","AAR","Tirstrup Arpt","DK","","","AAR","",2,56.28,10.63
"ap/AAY","AAY","Al Ghaydah Arpt","YE","","","AAY","QHF",2,16.2,52.18
"ap/ABA","ABA","Abakan Arpt","RU","","","ABA","QHF",2,53.71,91.43
"ap/ABC","ABC","Los Llanos Arpt","ES","","","ABC","QHF",2,38.94,-1.86
"ap/ABD","ABD","Abadan Arpt","IR","","","ABD","QHF",9,30.36,48.23
"ap/ABE","ABE","Lehigh Valley Intl Arpt","US","PA","","ABE","",2,40.65,-75.43
"ap/ABI","ABI","Abilene Municipal Arpt","US","TX","","ABI","",2,32.42,-99.68
"ap/ABJ","ABJ","Felix Houphouet Boigny Arpt","CI","","","ABJ","",2,5.25,-3.93
"ap/ABL","ABL","Ambler Arpt","US","AK","","ABL","",2,67.08,-157.84
"ap/ABM","ABM","Bamaga Arpt","AU","QL","","ABM","QHF",2,-10.86,142.4
"ap/ABQ","ABQ","Albuquerque Intl Arpt","US","NM","","ABQ","",2,35.04,-106.61
"ap/ABR","ABR","Aberdeen Arpt","US","SD","","ABR","",2,45.45,-98.42
"ap/ABS","ABS","Abu Simbel Arpt","EG","","","ABS","QHF",2,22.37,31.61
"ap/ABT","ABT","Al Aqiq","SA","","","ABT","QHF",2,20.3,41.63
"ap/ABV","ABV","Abuja Intl","NG","","","ABV","",2,9,7.26
"ap/ABX","ABX","Albury Airport","AU","NS","","ABX","QHF",2,-36.06,146.95
"ap/ABY","ABY","Dougherty Cty Arpt","US","GA","","ABY","",2,31.53,-84.2
"ap/ABZ","ABZ","Dyce Airport","GB","","","ABZ","",2,57.2,-2.2
"ap/ACA","ACA","Alvarez Intl Arpt","MX","","","ACA","",2,16.76,-99.75
"ap/ACC","ACC","Kotoka Airport","GH","","","ACC","",2,5.6,-0.16
"ap/ACE","ACE","Lanzarote Airport","ES","","","ACE","",2,28.95,-13.6
"ap/ACH","ACH","Altenrhein Arpt","CH","","","ACH","",2,47.48,9.55
"ap/ACI","ACI","The Blaye Arpt","GB","","","ACI","",2,49.7,-2.2
"ap/ACK","ACK","Nantucket Memorial","US","MA","","ACK","",2,41.26,-70.06
"ap/ACO","ACO","Ascona Arpt","CH","","","ACO","QHF",2,46.15,8.76
"ap/ACT","ACT","Madison Cooper Arpt","US","TX","","ACT","",2,31.63,-97.07
"ap/ACV","ACV","Arcata Eureka Arpt","US","CA","","ACV","",2,40.97,-124.1
"ap/ACX","ACX","Xingyi Arpt","CN","","","ACX","QHF",3,25.08,104.95
"ap/ACY","ACY","Pomona Field","US","NJ","","AIY","",2,39.45,-74.57
"ap/ADA","ADA","Adana Airport","TR","","","ADA","",2,36.98,35.28
"ap/ADB","ADB","Adnan Menderes Airport","TR","","","IZM","",2,38.29,27.15
"ap/ADD","ADD","Bole Airport","ET","","","ADD","",2,9,38.78
"ap/ADE","ADE","Yemen Intl Arpt","YE","","","ADE","",2,12.83,45.03
"ap/ADG","ADG","Lenawee County Arpt","US","MI","","ADG","",9,41.86,-84.07
"ap/ADJ","ADJ","Civil Marka Arpt","JO","","","AMM","QHF",2,31.96,35.98
"ap/ADK","ADK","Adak Island Ns","US","AK","","ADK","QHF",2,51.87,-176.64
"ap/ADL","ADL","Adelaide Arpt","AU","SA","","ADL","QHF",2,-34.94,138.53
"ap/ADM","ADM","Ardmore Municipal Arpt","US","OK","","ADM","",9,34.3,-97.01
"ap/ADQ","ADQ","Kodiak Arpt","US","AK","","ADQ","",2,57.75,-152.48
"ap/ADS","ADS","Addison Arpt","US","TX","","DFW","",9,32.96,-96.83
"ap/ADT","ADT","Ada Municipal Arpt","US","OK","","ADT","",9,34.8,-96.66
"ap/ADU","ADU","Ardabil Arpt","IR","","","ADU","QHF",3,38.25,48.3
"ap/ADW","ADW","Andrews Air Force Base","US","MD","","ADW","",9,38.8,-76.91
"ap/ADX","ADX","Leuchars Arpt","GB","","","ADX","QHF",2,56.36,-2.86
"ap/ADZ","ADZ","San Andres Island Arpt","CO","","","ADZ","",2,12.58,-81.7
"ap/AEI","AEI","Algeciras Arpt","ES","","","AEI","",9,36.18,-5.45
"ap/AEL","AEL","Albert Lea Arpt","US","MN","","AEL","",9,43.68,-93.36
"ap/AEP","AEP","Jorge Newbery","AR","","BUE","BUE","",2,-34.56,-58.36
"ap/AER","AER","Alder Sochi Arpt","RU","","","AER","",2,43.45,39.93
"ap/AES","AES","Vigra Airport","NO","","","AES","",2,62.56,6.11
"ap/AEX","AEX","Alexandria Intl Arpt","US","LA","","AEX","",2,31.32,-92.54
"ap/AEY","AEY","Akureyri","IS","","","AEY","",2,65.65,-18.05
"ap/AFA","AFA","San Rafael Arpt","AR","","","AFA","",9,-34.58,-68.4
"ap/AFK","AFK","Kondavattavan Tank Arpt","LK","","","AFK","QHF",9,7.29,81.63
"ap/AFL","AFL","Alta Floresta Arpt","BR","","","AFL","",2,-9.87,-56.1
"ap/AGA","AGA","Agadir Almassira Arpt","MA","","","AGA","",2,30.38,-9.55
"ap/AGB","AGB","Muehlhausen Arpt","DE","","","AGB","QHF",2,48.42,10.93
"ap/AGC","AGC","Allegheny Cty Arpt","US","PA","","PIT","",9,40.35,-79.93
"ap/AGE","AGE","Flugplatz Arpt","DE","","","AGE","",9,53.78,7.91
"ap/AGF","AGF","La Garenne Arpt","FR","","","AGF","",2,44.2,0.63
"ap/AGH","AGH","Angelholm Helsingborg Arpt","SE","","","AGH","",2,56.29,12.85
"ap/AGN","AGN","Angoon Arpt","US","AK","","AGN","QHF",3,57.5,-134.58
"ap/AGO","AGO","Magnolia Municipal","US","AR","","AGO","",9,33.22,-93.21
"ap/AGP","AGP","Malaga Arpt","ES","","","AGP","",2,36.67,-4.48
"ap/AGR","AGR","Kheria Arpt","IN","","","AGR","",2,27.15,77.96
"ap/AGS","AGS","Bush Field","US","GA","","AGS","",2,33.37,-81.97
"ap/AGT","AGT","Alejo Garcia Arpt","PY","","","AGT","QHF",2,-25.45,-54.84
"ap/AGU","AGU","Aguascalientes Municipal Arpt","MX","","","AGU","",2,21.88,-102.3
"ap/AHB","AHB","Abha Airport","SA","","","AHB","",2,18.23,42.65
"ap/AHI","AHI","Amahai Airport","ID","","","AHI","",9,-3.33,128.91
"ap/AHN","AHN","Athens Municipal","US","GA","","AHN","",2,33.95,-83.46
"ap/AHO","AHO","Fertilia Arpt","IT","","","AHO","",2,40.62,8.28
"ap/AHU","AHU","Charif Al Idrissi Arpt","MA","","","AHU","",2,35.25,-3.93
"ap/AIA","AIA","Alliance Municipal","US","NE","","AIA","",2,42.06,-102.81
"ap/AID","AID","Anderson Municipal Arpt","US","IN","","AID","",9,40.08,-85.83
"ap/AIK","AIK","Aiken Municipal Arpt","US","SC","","AIK","",9,33.64,-81.68
"ap/AIN","AIN","Wainwright Municipal Arpt","US","AK","","AIN","",2,70.63,-160.04
"ap/AIT","AIT","Aitutaki Arpt","CK","","","AIT","",2,-18.85,-159.75
"ap/AIY","AIY","Bader Field","US","NJ","","AIY","",9,39.36,-74.45
"ap/AIZ","AIZ","Lee C Fine Memorial","US","MO","","AIZ","",9,38.09,-92.55
"ap/AJA","AJA","Campo Dell Oro Arpt","FR","","","AJA","",2,41.89,8.61
"ap/AJR","AJR","Arvidsjaur Arpt","SE","","","AJR","",2,65.59,19.28
"ap/AJU","AJU","Santa Maria Arpt","BR","","","AJU","",2,-10.91,-37.06
"ap/AKJ","AKJ","Asahikawa Arpt","JP","","","AKJ","",2,43.67,142.44
"ap/AKL","AKL","Auckland Arpt","NZ","","","AKL","QHF",2,-37,174.78
"ap/AKN","AKN","King Salmon Arpt","US","AK","","AKN","",2,58.67,-156.64
"ap/AKV","AKV","Akulivik Arpt","CA","PQ","","AKV","",3,60.81,-78.15
"ap/AKX","AKX","Aqtobe Arpt","KZ","","","AKX","",3,50.25,57.21
"ap/ALA","ALA","Almaty Arpt","KZ","","","ALA","",2,43.35,77.03
"ap/ALB","ALB","Albany Cty Arpt","US","NY","","ALB","",2,42.74,-73.8
"ap/ALC","ALC","Alicante Arpt","ES","","","ALC","",2,38.28,-0.55
"ap/ALE","ALE","Alpine Aprt","US","TX","","ALE","",9,30.38,-103.68
"ap/ALF","ALF","Elvebakken Arpt","NO","","","ALF","",2,69.98,23.36
"ap/ALG","ALG","Houari Boumedienne Arpt","DZ","","","ALG","",2,36.7,3.21
"ap/ALH","ALH","Albany Airport","AU","WA","","ALH","QHF",2,-35,117.87
"ap/ALJ","ALJ","Kortdoorn Arpt","ZA","","","ALJ","",2,-29.66,16.5
"ap/ALL","ALL","Albenga Arpt","IT","","","ALL","QHF",9,44.04,8.12
"ap/ALM","ALM","Alamogordo Municipal","US","NM","","ALM","",2,32.84,-105.99
"ap/ALO","ALO","Livingston Betsworth Fld","US","IA","","ALO","",2,42.55,-92.39
"ap/ALP","ALP","Nejrab Arpt","SY","","","ALP","QHF",2,36.18,37.22
"ap/ALS","ALS","Alamosa Municipal","US","CO","","ALS","",2,37.44,-105.86
"ap/ALV","ALV","Andorra La Vella Hlpt","AD","","","ALV","",8,42.51,1.53
"ap/ALW","ALW","Walla Walla City County","US","WA","","ALW","",2,46.09,-118.28
"ap/ALX","ALX","Thomas C Russell Field","US","AL","","ALX","",9,32.91,-85.96
"ap/ALY","ALY","El Nouzha Arpt","EG","","","ALY","",2,31.18,29.94
"ap/AMA","AMA","Amarillo Intl Arpt","US","TX","","AMA","",2,35.23,-101.7
"ap/AMD","AMD","Ahmedabad Arpt","IN","","","AMD","QHF",2,23.06,72.62
"ap/AMI","AMI","Selaparang Airport","ID","","","AMI","QHF",2,-8.56,116.09
"ap/AMK","AMK","Animas Airpark","US","CO","","DRO","QHF",9,37.21,-107.86
"ap/AMM","AMM","Queen Alia Intl Arpt","JO","","","AMM","",2,31.95,36.29
"ap/AMQ","AMQ","Pattimura Arpt","ID","","","AMQ","QHF",2,-3.71,128.2
"ap/AMS","AMS","Schiphol Arpt","NL","","","AMS","",2,52.31,4.76
"ap/AMW","AMW","Ames Minicipal Arpt","US","IA","","AMW","",9,41.99,-93.62
"ap/ANB","ANB","Anniston Municipal Arpt","US","AL","","ANB","",9,33.58,-85.85
"ap/ANC","ANC","Anchorage Intl Arpt","US","AK","","ANC","",2,61.17,-149.97
"ap/AND","AND","Anderson Arpt","US","SC","","AND","",9,34.5,-82.65
"ap/ANE","ANE","Marce Arpt","FR","","","ANE","",2,47.46,-0.55
"ap/ANF","ANF","Cerro Moreno Arpt","CL","","","ANF","QHF",2,-23.43,-70.44
"ap/ANG","ANG","Brie Champniers","FR","","","ANG","",2,45.66,0.2
"ap/ANI","ANI","Aniak Arpt","US","AK","","ANI","",2,61.58,-159.53
"ap/ANK","ANK","Etimesgut Arpt","TR","","","ANK","",9,39.95,32.82
"ap/ANP","ANP","Lee Annapolis Arpt","US","MD","","ANP","",9,38.94,-76.56
"ap/ANR","ANR","Brussels North","BE","","","BRU","QHF",2,51.19,4.45
"ap/ANU","ANU","V C Bird Intl Arpt","AG","","","ANU","",2,17.14,-61.77
"ap/ANW","ANW","Ainsworth Minicipal Arpt","US","NE","","ANW","",9,42.71,-99.99
"ap/ANX","ANX","Andenes Arpt","NO","","","ANX","",2,69.31,16.11
"ap/AOC","AOC","Altenburg Nobitz Arpt","DE","","","AOC","",9,50.96,12.5
"ap/AOH","AOH","Allen County Arpt","US","OH","","AOH","",9,40.7,-84.02
"ap/AOI","AOI","Falconara Arpt","IT","","","AOI","",2,43.62,13.36
"ap/AOJ","AOJ","Aomori Arpt","JP","","","AOJ","",2,40.73,140.7
"ap/AOK","AOK","Karpathos Arpt","GR","","","AOK","",2,35.42,27.14
"ap/AOL","AOL","Paso De Los Libres Arpt","AR","","","AOL","",9,-29.69,-57.14
"ap/AOO","AOO","Blair Cty Arpt","US","PA","","AOO","",2,40.29,-78.32
"ap/AOR","AOR","Sultan Abdul Hamlin Arpt","MY","","","AOR","QHF",2,6.19,100.4
"ap/AOT","AOT","Corrado Gex Arpt","IT","","","AOT","QHF",2,45.73,7.36
"ap/APA","APA","Centennial Arpt","US","CO","","DEN","",9,39.57,-104.84
"ap/APC","APC","Napa Cty Arpt","US","CA","","APC","",9,38.21,-122.28
"ap/APF","APF","Naples Municipal","US","FL","","APF","",2,26.14,-81.77
"ap/APG","APG","Phillips Army Air Field","US","MD","","BWI","",9,39.5,-76.2
"ap/APL","APL","Nampula Arpt","MZ","","","APL","QHF",2,-15.1,39.28
"ap/APN","APN","Phelps Collins Arpt","US","MI","","APN","",2,45.07,-83.56
"ap/APO","APO","Apartado Arpt","CO","","","APO","",2,7.03,-77.2
"ap/APS","APS","Anapolis Arpt","BR","","","APS","",9,-16.33,-48.96
"ap/APW","APW","Apia Airport","WS","","APW","APW","",2,-13.83,-172
"ap/AQA","AQA","Araraquara Arpt","BR","","","AQA","QHF",9,-21.78,-48.16
"ap/AQG","AQG","Anqing Arpt","CN","","","AQG","QHF",9,30.51,117.03
"ap/AQI","AQI","Qaisumah Arpt","SA","","","AQI","QHF",2,28.32,46.13
"ap/AQJ","AQJ","Aqaba Airport","JO","","","AQJ","",2,29.61,35.01
"ap/AQP","AQP","Rodriguez Ballon Arpt","PE","","","AQP","",2,-16.4,-71.55
"ap/ARB","ARB","Ann Arbor Municipal","US","MI","","ARB","",9,42.22,-83.74
"ap/ARH","ARH","Arkhangelsk Arpt","RU","","","ARH","",2,64.56,40.53
"ap/ARI","ARI","Chacalluta Arpt","CL","","","ARI","",2,-18.34,-70.33
"ap/ARK","ARK","Arusha Arpt","TZ","","","ARK","",2,-3.36,36.68
"ap/ARM","ARM","Armidale Arpt","AU","NS","","ARM","QHF",2,-30.53,151.61
"ap/ARN","ARN","Arlanda Arpt","SE","","","STO","QHF",2,59.64,17.93
"ap/ART","ART","Watertown Arpt","US","NY","","ART","",2,43.99,-76.02
"ap/ARU","ARU","Aracatuba Arpt","BR","","","ARU","QHF",2,-21.14,-50.42
"ap/ARV","ARV","Noble F Lee Memorial Field","US","WI","","ARV","",2,45.91,-89.73
"ap/ARW","ARW","Arad Arpt","RO","","","ARW","QHF",2,46.17,21.26
"ap/ARY","ARY","Ararat Arpt","AU","VI","","ARY","QHF",9,-37.31,142.99
"ap/ASB","ASB","Ashgabat Arpt","TM","","","ASB","QHF",2,37.98,58.36
"ap/ASD","ASD","Andros Town Arpt","BS","","","ASD","",2,24.69,-77.79
"ap/ASE","ASE","Pitkin Cty Arptt Sardy Fld","US","CO","","ASE","",2,39.21,-106.91
"ap/ASF","ASF","Astrakhan Arpt","RU","","","ASF","",2,46.35,48.05
"ap/ASH","ASH","Boire Field Arpt","US","NH","","ASH","",9,42.78,-71.51
"ap/ASJ","ASJ","Amami O Shima Arpt","JP","","","ASJ","QHF",2,28.41,129.69
"ap/ASK","ASK","Yamoussoukro Arpt","CI","","","ASK","",9,6.9,-5.36
"ap/ASL","ASL","Harrison County Arpt","US","TX","","ASL","",9,32.52,-94.3
"ap/ASM","ASM","Asmara Intl Arpt","ER","","","ASM","QHF",2,15.29,38.91
"ap/ASP","ASP","Alice Springs Arpt","AU","NT","","ASP","QHF",2,-23.8,133.9
"ap/ASR","ASR","Kayseri Arpt","TR","","","ASR","",2,38.7,35.5
"ap/AST","AST","Astoria Arpt","US","OR","","AST","QHF",2,46.15,-123.88
"ap/ASU","ASU","Salvio Pettirosse Arpt","PY","","","ASU","",2,-25.16,-57.41
"ap/ASW","ASW","Daraw Arpt","EG","","","ASW","",2,23.96,32.78
"ap/ATC","ATC","Arthurs Town Arpt","BS","","","ATC","",2,24.63,-75.7
"ap/ATH","ATH","Eleftherios Venizelos Intl Arpt","GR","","","ATH","QHF",2,37.93,23.93
"ap/ATI","ATI","Artigas Arpt","UY","","","ATI","QHF",9,-30.38,-56.5
"ap/ATL","ATL","Hartsfield Jackson Intl Arpt","US","GA","","ATL","QHF",2,33.63,-84.44
"ap/ATM","ATM","Altamira Arpt","BR","","","ATM","",2,-3.2,-52.21
"ap/ATO","ATO","Ohio University Arpt","US","OH","","ATO","",9,39.21,-82.22
"ap/ATQ","ATQ","Raja Sansi Arpt","IN","","","ATQ","QHF",3,31.7,74.79
"ap/ATR","ATR","Mouakchott Arpt","MR","","","ATR","QHF",2,0,0
"ap/ATW","ATW","Outagamie Cty Arpt","US","WI","","ATW","",2,44.25,-88.51
"ap/ATY","ATY","Watertown Municipal","US","SD","","ATY","",2,44.92,-97.16
"ap/AUA","AUA","Reina Beatrix Arpt","AW","","","AUA","",2,12.5,-70.01
"ap/AUG","AUG","Maine State Arpt","US","ME","","AUG","",2,44.31,-69.79
"ap/AUH","AUH","Dhabi Intl Arpt","AE","","","AUH","",2,24.43,54.65
"ap/AUO","AUO","Auburn Opelika","US","AL","","AUO","",9,32.61,-85.43
"ap/AUQ","AUQ","Atuona Arpt","PF","","","AUQ","",2,-9.8,-139.03
"ap/AUR","AUR","Tronquieres Arpt","FR","","","AUR","QHF",2,44.89,2.41
"ap/AUS","AUS","Bergstrom Intl Arpt","US","TX","","AUS","",2,30.2,-97.66
"ap/AUU","AUU","Aurukin Arpt","AU","QL","","AUU","QHF",2,-13.35,141.71
"ap/AUW","AUW","Wausau Municipal Arpt","US","WI","","AUW","",9,44.91,-89.61
"ap/AUX","AUX","Araguaina Arpt","BR","","","AUX","",2,-7.2,-48.2
"ap/AUZ","AUZ","Aurora Municipal Arpt","US","IL","","AUZ","",9,41.76,-88.45
"ap/AVI","AVI","Maximo Gomez Arpt","CU","","","AVI","",2,22.02,-78.79
"ap/AVL","AVL","Asheville Municipal Arpt","US","NC","","AVL","",2,35.43,-82.53
"ap/AVN","AVN","Avignon Caumont Arpt","FR","","","AVN","",2,43.9,4.9
"ap/AVP","AVP","Wilkes Barre Scranton Intl Arpt","US","PA","","AVP","",2,41.33,-75.72
"ap/AVV","AVV","Melbourne Avalon Arpt","AU","VI","","MEL","QHF",3,-38.03,144.46
"ap/AWM","AWM","West Memphis Municipal Arpt","US","TN","","MEM","QHF",2,35.13,-90.23
"ap/AXA","AXA","Wallblake Municipal","AI","","","AXA","",2,18.21,-63.05
"ap/AXD","AXD","Dhmokritos Arpt","GR","","","AXD","QHF",2,40.85,25.95
"ap/AXM","AXM","El Eden Arpt","CO","","","AXM","QHF",2,4.45,-75.76
"ap/AXN","AXN","Alexandria Airport","US","MN","","AXN","",9,45.86,-95.39
"ap/AXS","AXS","Altus Municipal Arpt","US","OK","","LTS","",9,34.69,-99.33
"ap/AXT","AXT","Akita Airport","JP","","","AXT","",2,39.61,140.21
"ap/AXV","AXV","Neil Armstrong Arpt","US","OH","","AXV","",9,40.49,-84.29
"ap/AYP","AYP","Yanamilla Arpt","PE","","","AYP","QHF",2,-13.19,-74.24
"ap/AYQ","AYQ","Connellan Arpt","AU","NT","","AYQ","QHF",2,-25.18,130.97
"ap/AYR","AYR","Ayr Arpt","AU","QL","","AYR","QHF",9,-19.59,147.32
"ap/AYS","AYS","Ware County Arpt","US","GA","","AYS","",9,31.25,-82.4
"ap/AYT","AYT","Antalya Airport","TR","","","AYT","QHF",2,36.9,30.79
"ap/AZA","AZA","Williams Gateway Arpt","US","AZ","","PHX","QHF",3,33.31,-111.67
"ap/AZD","AZD","Yazd Arpt","IR","","","AZD","QHF",2,31.89,54.28
"ap/AZG","AZG","Apatzingan Arpt","MX","","","AZG","",9,19.08,-102.38
"ap/AZO","AZO","Kalamazoo Cty Arpt","US","MI","","AZO","",2,42.23,-85.55
"ap/BAD","BAD","Barksdale Air Force Base","US","LA","","SHV","QHF",9,32.5,-93.66
"ap/BAG","BAG","Loakan Arpt","PH","","","BAG","",2,16.37,120.62
"ap/BAH","BAH","Bahrain Intl Arpt","BH","","","BAH","QHF",2,26.27,50.63
"ap/BAQ","BAQ","E Cortissoz Arpt","CO","","","BAQ","",2,10.88,-74.78
"ap/BAS","BAS","Balalae Arpt","SB","","","BAS","QHF",2,-7.98,155.9
"ap/BAT","BAT","Barretos Arpt","BR","","","BAT","QHF",9,-20.58,-48.59
"ap/BAU","BAU","Bauru Arpt","BR","","","BAU","QHF",2,-22.34,-49.05
"ap/BAV","BAV","Baotou Arpt","CN","","","BAV","QHF",2,40.66,109.98
"ap/BAY","BAY","Baia Mare Arpt","RO","","","BAY","QHF",2,47.62,23.46
"ap/BBA","BBA","Teniente Vidal Airport","CL","","","BBA","",2,-45.91,-71.69
"ap/BBH","BBH","Barth Arpt","DE","","","BBH","",9,54.33,12.7
"ap/BBI","BBI","Bhubaneswar Arpt","IN","","","BBI","",2,20.23,85.81
"ap/BBJ","BBJ","Bitburg Air Base","DE","","","BBJ","",9,49.96,6.53
"ap/BBK","BBK","Kasane Arpt","BW","","","BBK","",2,-17.83,25.16
"ap/BBN","BBN","Bario Arpt","MY","","","BBN","QHF",3,3.68,115.46
"ap/BBR","BBR","Baillif Arpt","GP","","","BBR","",9,16,61.73
"ap/BBU","BBU","Baneasa Airport","RO","","BUH","BUH","",2,44.39,26.1
"ap/BBW","BBW","Broken Bow Municipal","US","NE","","BBW","",9,41.46,-99.63
"ap/BCB","BCB","Virginia Tech Arpt","US","VA","","BCB","",9,37.2,-80.4
"ap/BCD","BCD","Bacolod Arpt","PH","","","BCD","",2,10.64,122.92
"ap/BCE","BCE","Bryce Arpt","US","UT","","BCE","",9,37.7,-112.15
"ap/BCH","BCH","English Madeira Arpt","TL","","","BCH","",9,-8.48,126.4
"ap/BCI","BCI","Barcaldine Arpt","AU","QL","","BCI","QHF",2,-23.55,145.3
"ap/BCM","BCM","Bacau Arpt","RO","","","BCM","QHF",2,46.59,26.88
"ap/BCN","BCN","Barcelona Arpt","ES","","","BCN","",2,41.3,2.08
"ap/BCT","BCT","Boca Raton Public","US","FL","","FLL","",9,26.36,-80.11
"ap/BDA","BDA","Bermuda International","BM","","","BDA","",2,32.36,-64.68
"ap/BDB","BDB","Bundaberg Arpt","AU","QL","","BDB","QHF",2,-24.86,152.35
"ap/BDD","BDD","Badu Island Arpt","AU","QL","","BDD","QHF",2,-10.11,142.13
"ap/BDJ","BDJ","Sjamsudin Noor Arpt","ID","","","BDJ","QHF",2,-3.44,114.75
"ap/BDL","BDL","Bradley Intl Arpt","US","CT","","HFD","",2,41.93,-72.69
"ap/BDO","BDO","Husein Sastranegara Arpt","ID","","","BDO","QHF",2,-6.9,107.57
"ap/BDQ","BDQ","Vadodara Arpt","IN","","","BDQ","QHF",2,22.32,73.22
"ap/BDR","BDR","Sikorsky Memorial Arpt","US","CT","","BDR","",2,41.16,-73.12
"ap/BDS","BDS","Papola Casale Arpt","IT","","","BDS","QHF",2,40.65,17.95
"ap/BDU","BDU","Bardufoss Arpt","NO","","","BDU","",2,69.03,18.61
"ap/BEB","BEB","Benbecula Arpt","GB","","","BEB","",2,57.48,-7.36
"ap/BED","BED","Bedford Arpt","US","MA","","BED","",2,42.46,-71.28
"ap/BEG","BEG","Belgrade Beograd Arpt","RS","","","BEG","QHF",2,44.81,20.31
"ap/BEH","BEH","Ross Field","US","MI","","BEH","",9,42.12,-86.42
"ap/BEL","BEL","Val De Cans Arpt","BR","","","BEL","",2,-1.38,-48.47
"ap/BEN","BEN","Benina Intl Arpt","LY","","","BEN","QHF",2,32.09,20.27
"ap/BEO","BEO","Belmont Airport","AU","NS","","NTL","QHF",2,-33.03,151.66
"ap/BEQ","BEQ","Honington Arpt","GB","","","BEQ","",9,52.35,0.76
"ap/BES","BES","Guipavas Arpt","FR","","","BES","",2,48.44,-4.42
"ap/BET","BET","Bethel Airport","US","AK","","BET","",2,60.78,-161.83
"ap/BEU","BEU","Bedourie Arpt","AU","QL","","BEU","QHF",2,-24.33,39.36
"ap/BEW","BEW","Beira Arpt","MZ","","","BEW","QHF",2,-19.79,34.91
"ap/BEY","BEY","Beirut Intl Arpt","LB","","","BEY","",2,33.81,35.48
"ap/BEZ","BEZ","Beru Arpt","KI","","","BEZ","QHF",9,-1.33,176
"ap/BFD","BFD","Bradford Regional Arpt","US","PA","","BFD","",2,41.79,-78.64
"ap/BFE","BFE","Bielefeld Arpt","DE","","","BFE","QHF",2,51.96,8.54
"ap/BFF","BFF","Scottsbluff Municipal","US","NE","","BFF","",2,41.75,-103.59
"ap/BFG","BFG","Bullfrog Basin Arpt","US","UT","","BFG","QHF",9,37.55,-110.7
"ap/BFI","BFI","Seattle Boeing Field","US","WA","QSE","SEA","",2,47.53,-122.3
"ap/BFJ","BFJ","Ba Arpt","FJ","","","BFJ","",9,-17.55,177.68
"ap/BFL","BFL","Meadows Field","US","CA","","BFL","",2,35.42,-119.04
"ap/BFN","BFN","Bloemfontein International","ZA","","","BFN","",2,-29.1,26.3
"ap/BFP","BFP","Beaver Falls Arpt","US","PA","","BFP","",9,40.77,-80.39
"ap/BFR","BFR","Virgil I Grissom Municipal","US","IN","","BFR","",9,38.83,-86.5
"ap/BFS","BFS","Belfast Intl Arpt","GB","","","BFS","",2,54.65,-6.22
"ap/BFT","BFT","Beaufort County Arpt","US","SC","","BFT","",9,32.41,-80.63
"ap/BFV","BFV","Buri Ram Arpt","TH","","","BFV","QHF",2,15.23,103.25
"ap/BGA","BGA","Palo Negro Arpt","CO","","","BGA","",2,7.12,-73.18
"ap/BGF","BGF","Bangui Airport","CF","","","BGF","QHF",2,4.39,18.52
"ap/BGI","BGI","Grantley Adams Intl Arpt","BB","","","BGI","",2,13.07,-59.49
"ap/BGM","BGM","Edwin A Link Field","US","NY","","BGM","",2,42.2,-75.98
"ap/BGO","BGO","Flesland Airport","NO","","","BGO","",2,60.3,5.21
"ap/BGR","BGR","Bangor Intl Arpt","US","ME","","BGR","",2,44.8,-68.81
"ap/BGV","BGV","Bento Goncalves Arpt","BR","","","BGV","",9,-29.16,-51.51
"ap/BGW","BGW","Al Muthana Arpt","IQ","","","BGW","QHF",9,33.25,44.22
"ap/BGY","BGY","Orio Al Serio Arpt","IT","","MIL","BGY","",2,45.66,9.7
"ap/BHB","BHB","Hancock County","US","ME","","BHB","",2,44.45,-68.36
"ap/BHD","BHD","Belfast City Arpt","GB","","","BFS","",2,54.61,-5.87
"ap/BHE","BHE","Woodbourne Arpt","NZ","","","BHE","",2,-41.51,173.95
"ap/BHI","BHI","Commandante Airport","AR","","","BHI","",2,-38.71,-62.18
"ap/BHJ","BHJ","Rudra Mata Arpt","IN","","","BHJ","",2,23.28,69.66
"ap/BHK","BHK","Bukhara Arpt","UZ","","","BHK","",2,39.76,64.48
"ap/BHL","BHL","Bahia De Los Angeles Arpt","MX","","","BHL","",9,28.95,-113.55
"ap/BHM","BHM","Birmingham International Arpt","US","AL","","BHM","QHF",2,33.56,-86.74
"ap/BHO","BHO","Bhopal Arpt","IN","","","BHO","",2,23,77
"ap/BHQ","BHQ","Broken Hill Arpt","AU","NS","","BHQ","QHF",2,-32,141.46
"ap/BHS","BHS","Raglan Airport","AU","NS","","BHS","QHF",2,-33.41,149.58
"ap/BHX","BHX","Birmingham Intl Arpt","GB","","","BHX","",2,52.45,-1.73
