"eid","code","name","countrycode","statecode","metrocode","citycode","phoneprefix","type","lat","lon"
"ap/PVH","PVH","Belmonte Arpt","BR","","","PVH","",2,-8.76,-63.9
"ap/PVK","PVK","Aktion Arpt","GR","","","PVK","",2,38.91,20.75
"ap/PVR","PVR","Ordaz Arpt","MX","","","PVR","",2,20.67,-105.24
"ap/PVU","PVU","Provo Arpt","US","UT","","PVU","",2,40.21,-111.71
"ap/PVW","PVW","Hale County Arpt","US","TX","","PVW","",9,34.16,-101.71
"ap/PVZ","PVZ","Casement Arpt","US","OH","","PVZ","",9,41.73,-81.21
"ap/PWA","PWA","Wiley Post Arpt","US","OK","","OKC","",9,35.53,-97.64
"ap/PWK","PWK","Pal Waukee Arpt","US","IL","CHI","CHI","",2,42.11,-87.9
"ap/PWM","PWM","Portland Intl Jetport","US","ME","","PWM","",2,43.64,-70.31
"ap/PWQ","PWQ","Pavlodar Arpt","KZ","","","PWQ","QHF",2,52.18,77.06
"ap/PWT","PWT","Bremerton Municipal","US","WA","","PWT","",9,47.49,-122.76
"ap/PXM","PXM","Puerto Escondido Municipal","MX","","","PXM","",2,15.83,-97.19
"ap/PXO","PXO","Porto Santo Arpt","PT","","","PXO","",2,33.06,-16.35
"ap/PXU","PXU","Pleiku Arpt","VN","","","PXU","",2,14,108.01
"ap/PYX","PYX","Pattaya Arpt","TH","","","PYX","",9,12.83,100.94
"ap/PZB","PZB","Pietermaritzburg Arpt","ZA","","","PZB","",2,-29.65,30.4
"ap/PZE","PZE","Penzance Arpt","GB","","","PZE","",2,50.11,-5.66
"ap/PZO","PZO","Puerto Ordaz Arpt","VE","","","PZO","",2,8.3,-62.73
"ap/PZY","PZY","Piestany Arpt","SK","","","PZY","",9,48.66,17.83
"ap/QBC","QBC","Bella Colla Municipal","CA","BC","","QBC","",2,52.38,-126.76
"ap/QBF","QBF","Vail Van Service","US","CO","","EGE","",5,39.63,-106.36
"ap/QCE","QCE","Copper Mountain Van Service","US","CO","","QCE","",5,39.49,-106.14
"ap/QDH","QDH","Ashford Intl Rail Station","GB","","","QDH","QHF",6,51.14,0.87
"ap/QDU","QDU","Dusseldorf Rail Station","DE","","","DUS","QHF",6,51.22,6.79
"ap/QFQ","QFQ","Harbour Arpt","NO","","","QFQ","",2,61.93,5.11
"ap/QFZ","QFZ","Saarbruecken Rail Station","DE","","","SCN","",6,49.21,7.11
"ap/QGV","QGV","Neu Isenburg Arpt","DE","","","FRA","",2,50.05,8.72
"ap/QHV","QHV","Novo Hamburgo Arpt","BR","","","QHV","",9,-29.61,-51.11
"ap/QIG","QIG","Iguatu Arpt","BR","","","QIG","",9,-6.36,-39.28
"ap/QJZ","QJZ","Nantes Rail Station","FR","","","NTE","",6,47.21,-1.55
"ap/QKB","QKB","Breckenridge Van Service","US","CO","","QKB","",5,39.48,-106.04
"ap/QKL","QKL","Cologne Railroad Station","DE","","","CGN","",6,50.94,6.95
"ap/QKS","QKS","Keystone Van Service","US","CO","","QKS","",5,39.6,-105.99
"ap/QLE","QLE","Leeton Arpt","AU","NS","","QLE","QHF",9,-34.55,146.4
"ap/QNT","QNT","Niteroi Arpt","BR","","","QNT","",9,-22.88,-43.11
"ap/QQH","QQH","Harwich Rail Station","GB","","","LON","",6,51.95,1.28
"ap/QQK","QQK","London - Kings Cross Rail Service","GB","","","LON","",6,51.53,-0.12
"ap/QQM","QQM","Manchester - Piccadilly Rail Station","GB","","","MAN","",6,53.46,-2.23
"ap/QQN","QQN","Birmingham - New Street Rail Service","GB","","","BHX","",6,52.47,-1.89
"ap/QQP","QQP","London - Paddington Rail Service","GB","","","LON","",6,51.51,-0.17
"ap/QQU","QQU","London - Euston Rail Service","GB","","","LON","",6,51.53,-0.12
"ap/QQW","QQW","London - Waterloo Rail Service","GB","","","LON","",6,51.5,-0.11
"ap/QQX","QQX","Bath Rail Service","GB","","","QQX","",6,51.38,-2.35
"ap/QQY","QQY","York Rail Station","GB","","","QQY","",6,53.95,-1.09
"ap/QRA","QRA","Randgermiston Arpt","ZA","","","JNB","QHF",9,-26.24,28.15
"ap/QRH","QRH","Rotterdam Central Rail Station","NL","","","RTM","QHF",6,51.91,4.45
"ap/QRO","QRO","Queretaro Arpt","MX","","","QRO","",2,20.6,-100.38
"ap/QRV","QRV","Arras Arpt","FR","","","QRV","",9,50.35,2.66
"ap/QWF","QWF","Fort Collins Bus Service","US","CO","","FNL","",5,40.58,-105.08
"ap/QWH","QWH","Loveland Bus Service","US","CO","","FNL","",5,40.4,-105.1
"ap/QWM","QWM","Longmont Bus Service","US","CO","","DEN","",5,40.16,-105.1
"ap/QWY","QWY","Albany Bus Service","US","OR","","CVO","",5,44.63,-123.1
"ap/QXB","QXB","Aix en Provence Rail Station","FR","","","QXB","QHF",6,43.53,5.35
